"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"124","2019-08-06","12:43:19","78:00","4.846",,,
"124","2019-08-06","12:43:19","78:10","4.542",,,
"124","2019-08-06","12:43:19","78:20","4.846",,,
"124","2019-08-06","12:43:19","78:30","4.663",,,
"124","2019-08-06","12:43:19","78:40","4.511",,,
"124","2019-08-06","12:43:19","78:50","4.694",,,
"124","2019-08-06","12:43:19","79:00","4.602",,,
"124","2019-08-06","12:43:19","79:10","4.542","28.333",,
"124","2019-08-06","12:43:19","79:20","4.42","27.778",,
"124","2019-08-06","12:43:19","79:30","4.328",,,
"124","2019-08-06","12:43:19","79:40","4.572",,,
"124","2019-08-06","12:43:19","79:50","3.048",,,
"124","2019-08-06","12:43:19","80:00","2.743","28.333",,
"124","2019-08-06","12:43:19","80:10","3.84",,,
"124","2019-08-06","12:43:19","80:20","3.932","27.778",,
"124","2019-08-06","12:43:19","80:30","4.084",,,
"124","2019-08-06","12:43:19","80:40","4.907","28.333",,
"124","2019-08-06","12:43:19","80:50","4.45",,,
"124","2019-08-06","12:43:19","81:00","4.267",,,
"124","2019-08-06","12:43:19","81:10","4.42","27.778",,
"124","2019-08-06","12:43:19","81:20","4.938",,,
"124","2019-08-06","12:43:19","81:30","5.09","28.333",,
"124","2019-08-06","12:43:19","81:40","4.145",,,
"124","2019-08-06","12:43:19","81:50","4.206",,,
"124","2019-08-06","12:43:19","82:00","4.45",,,
"124","2019-08-06","12:43:19","82:10","4.267",,,
"124","2019-08-06","12:43:19","82:20","4.054",,,
"124","2019-08-06","12:43:19","82:30","4.389",,,
"124","2019-08-06","12:43:19","82:40","4.389",,,
"124","2019-08-06","12:43:19","82:50","4.084",,,
"124","2019-08-06","12:43:19","83:00","4.115",,,
"124","2019-08-06","12:43:19","83:10","4.45",,,
