OTU	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu2374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu238	0	0	0	0	0	0	44	25	0	0	0	0	0	380	376	0	0	13	6	0	74	1	2	16	0	0	33	59	0	3	0	3	2	0	0	0	22	34	29	0	0
Zotu2380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	0
Zotu2387	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	0	0	0	0	0	5	0	0	0	0
Zotu2388	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	6	17	0	0	1	0	0	0	0
Zotu2389	0	0	0	0	0	0	0	0	0	11	0	0	0	18	7	0	0	0	0	0	0	0	0	0	0	0	0	40	0	2	0	0	0	0	0	0	0	0	0	0	0
Zotu239	0	0	0	0	0	246	0	311	31	67	2	1	0	374	205	0	0	40	169	0	325	0	18	40	6	0	118	168	20	17	196	15	1	11	269	0	133	94	1	26	0
Zotu2393	0	0	0	0	0	0	0	0	0	0	26	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu24	0	0	0	0	423	0	0	22	0	0	0	740	0	14	699	0	0	424	0	0	128	21219	0	77	111	0	0	0	0	0	0	13	0	116	5240	0	225	0	0	0	0
Zotu2400	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2407	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	4	3	0	0	0
Zotu2408	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	31	0	2	0	0	0	0
Zotu2409	0	0	0	0	0	0	0	0	0	0	0	0	0	7	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
Zotu241	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	33	687	14	0	18	0	0	0	1	0	0	0	0	0	0	0	0
Zotu2415	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Zotu2416	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	35	0	0	0	0	0	0
Zotu242	0	0	0	0	0	0	782	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
